,Mkt-RF,SMB,HML
192607,2.89,-2.55,-2.39
192608,2.64,-1.14,3.81
192609,0.38,-1.36,0.05
192610,-3.27,-0.14,0.82
192611,2.54,-0.11,-0.61
192612,2.62,-0.07,0.06
192701,-0.05,-0.32,4.58
192702,4.17,0.07,2.72
192703,0.14,-1.77,-2.38
192704,0.47,0.39,0.65
192705,5.45,1.55,4.8
192706,-2.38,0.51,-1.72
192707,7.26,-3.27,-1.13
192708,1.99,-0.77,-3.85
192709,4.77,-3.6,-0.57
192710,-4.29,2.03,-4.47
192711,6.52,2.78,-0.08
192712,2.09,0.98,-1.12
192801,-0.57,4.2,-0.71
192802,-1.69,-2.06,-0.64
192803,8.79,-0.38,-1.11
192804,4.25,4.14,3.25
192805,1.52,2.7,-3
192806,-4.9,-3.76,0.28
192807,0.63,-1.36,-0.54
192808,6.69,-2.04,-2.13
192809,2.87,2.4,0.84
192810,1.31,2.24,-2.14
192811,11.82,-1.82,2.65
192812,0.4,-0.93,-0.52
192901,4.66,-3.35,-1.22
192902,-0.34,-0.33,1.66
192903,-0.85,-4.91,1.57
192904,1.47,-1.12,0.93
192905,-6.38,-5.44,-1.52
192906,9.7,-2.14,-2.74
192907,4.48,-3.87,2.67
192908,8.14,-9.75,0.32
192909,-5.45,1.34,-0.79
192910,-20.07,-4.95,7.54
192911,-12.87,-0.88,5.05
192912,1.28,-4.1,-0.14
193001,5.61,3.49,-1.03
193002,2.5,0.28,0.28
193003,7.09,3.39,0.3
193004,-2.05,-0.35,-0.37
193005,-1.66,-2.1,-0.74
193006,-16.08,-3.59,2.4
193007,4.12,-0.27,-1.7
193008,0.3,-2.16,-0.59
193009,-12.81,-2.41,-5.09
193010,-8.78,-0.2,-1.09
193011,-3.04,2.46,-3.81
193012,-7.86,-4.67,-5.69
193101,6.25,3.47,8.24
193102,10.88,3.45,1.63
193103,-6.35,2.83,-3.2
193104,-10,-4.22,-4.33
193105,-13.29,5.22,-6.31
193106,13.93,-5.01,11.7
193107,-6.63,1.49,-2.2
193108,0.4,-2.08,-1.7
193109,-28.74,-1.02,-7.24
193110,7.99,-0.28,3.12
193111,-9.14,4.4,-5.19
193112,-13.52,-0.87,-9.19
193201,-1.57,4.41,9.74
193202,5.45,-2.51,-1.47
193203,-11.3,2.13,-2.2
193204,-17.94,0.93,2.07
193205,-20.51,4.21,-4.08
193206,-0.77,0.4,5.85
193207,33.61,-4.29,35.52
193208,37.12,13.46,34.2
193209,-2.94,-2.15,-7.37
193210,-13.15,-2.59,-10.47
193211,-5.88,1.83,-13.19
193212,4.42,-8.3,-7.54
193301,1.24,0.73,6.46
193302,-15.29,-2.63,-2.92
193303,3.06,3.6,7.09
193304,38.81,3.02,20.1
193305,21.43,35.96,18.66
193306,13.1,8.65,-1.64
193307,-9.64,-1.06,3.3
193308,12.04,-5.16,3.05
193309,-10.65,-0.58,-11.71
193310,-8.36,-0.07,-8.49
193311,9.97,-6.37,2.27
193312,1.82,0.36,-1.99
193401,12.6,13.21,16.2
193402,-2.51,5.05,1.86
193403,0.09,2.45,-2.59
193404,-1.79,2.73,-3.83
193405,-7.26,-0.31,-5.9
193406,2.71,-2.18,-2.85
193407,-10.94,-7.12,-10.76
193408,5.58,5.55,0.17
193409,-0.24,-1.5,-1.21
193410,-1.66,1.23,-5
193411,8.33,6.6,-2.14
193412,0.36,3.28,-3.16
193501,-3.46,0.96,-1.77
193502,-1.96,0.32,-7.48
193503,-3.71,-3.43,-5.03
193504,9.06,-1.58,4.37
193505,3.46,-3.2,2.45
193506,5.93,-2.53,-1.52
193507,7.54,2.02,6.58
193508,2.65,6.01,6.29
193509,2.62,1.55,-4.12
193510,7.03,2.67,-2.33
193511,4.87,4.65,12.2
193512,4.55,0.09,0.83
193601,6.89,5.6,10.95
193602,2.49,0.84,4.33
193603,0.96,0.69,-1.59
193604,-8.14,-5.99,-2.28
193605,5.19,0.89,2.55
193606,2.4,-3.22,-1.19
193607,6.68,1.07,2.53
193608,0.99,0.61,3.79
193609,0.97,3.12,0.94
193610,7.1,-2.35,2.51
193611,3.26,8.7,-1.25
193612,0.2,3.87,4.14
193701,3.35,4.49,2.78
193702,1.08,0.64,4.28
193703,-0.26,-1.25,7.04
193704,-7.36,-3.72,-3.46
193705,-0.83,-0.69,-3.46
193706,-4.23,-3.91,-3.12
193707,8.91,0.88,0.81
193708,-4.88,0.45,-2.25
193709,-13.62,-7,-4.55
193710,-9.59,0.45,-1.52
193711,-8.33,-3.56,0.22
193712,-4.29,-7.92,-0.47
193801,0.48,4.84,-1.53
193802,5.85,0.41,-1.97
193803,-23.91,-4.3,-3.63
193804,14.48,6.4,0.45
193805,-3.86,-2.47,-0.24
193806,23.89,4.22,0.37
193807,7.33,6.69,2.28
193808,-2.68,-2.48,-4.78
193809,0.83,-2.68,-1.7
193810,7.8,5.81,5.04
193811,-1.74,-2.55,-1.2
193812,4.16,-1.81,0.54
193901,-5.97,-1.54,-3.92
193902,3.51,0.61,2.92
193903,-12.03,-4.75,-8.27
193904,-0.18,1.67,-0.3
193905,6.81,2.8,0.47
193906,-5.33,-1.09,-5.28
193907,10.22,4.18,0.13
193908,-6.68,-4.59,-2.47
