6.34,1,7.80,5.30,5.70,0.5,0.07,0.00,0.10
,,,,,1,0.07,0.00,0.50
,2,5.30,4.50,4.70,1.5,0.25,0.00,0.60
,2.5,4.90,3.80,4.30,2,0.11,0.00,0.60
,3,4.80,3.50,3.80,2.5,0.15,0.10,0.20
,3.5,2.75,3.00,3.30,3,0.35,0.20,0.30
,4,3.60,2.75,2.90,3.5,0.40,0.30,0.45
,4.5,3.10,2.30,2.60,4,0.55,0.45,0.55
,5,1.70,2.10,2.30,4.5,0.75,0.60,0.75
,5.5,1.70,1.80,2.00,5,0.93,0.85,1.00
,6,1.30,1.60,1.75,5.5,1.30,1.05,1.20
,7,1.25,1.20,1.35,6,1.54,1.30,1.50
,8,0.93,0.95,1.10,7,2.20,1.85,2.10
,9,0.65,0.75,0.90,8,2.88,2.60,2.95
,10,0.64,0.50,0.75,9,3.60,3.40,3.60
,11,0.45,0.50,0.65,10,4.57,4.20,4.60
,12,0.43,0.40,0.50,11,5.30,5.00,5.30
,13,0.40,0.30,0.45,12,6.20,5.90,6.30
,14,0.25,0.00,0.35,13,7.20,6.80,7.30
,15,0.35,0.00,0.30,14,8.00,7.70,8.30
,16,0.22,0.00,0.30,15,8.90,8.60,9.50
,17,0.20,0.00,0.35,16,9.80,9.60,10.10
,18,0.19,0.05,0.25,17,9.50,10.60,11.10
